Transaction ID,Transaction
Trans1,"A Beginner’s Guide,Java: The Complete Reference,Java For Dummies,Android Programming: The Big Nerd Ranch"
Trans2,"A Beginner’s Guide,Java: The Complete Reference,Java For Dummies"
Trans3,"A Beginner’s Guide,Java: The Complete Reference,Java For Dummies,Android Programming: The Big Nerd Ranch,Head First Java 2nd Edition"
Trans4,"Android Programming: The Big Nerd Ranch,Head First Java 2nd Edition,Beginning Programming with Java"
Trans5,"Android Programming: The Big Nerd Ranch,Beginning Programming with Java,Java 8 Pocket Guide"
Trans6,"A Beginner’s Guide,Android Programming: The Big Nerd Ranch,Head First Java 2nd Edition"
Trans7,"A Beginner’s Guide,Head First Java 2nd Edition,Beginning Programming with Java"
Trans8,"Java: The Complete Reference,Java For Dummies,Android Programming: The Big Nerd Ranch"
Trans9,"Java For Dummies,Android Programming: The Big Nerd Ranch,Head First Java 2nd Edition,Beginning Programming with Java"
Trans10,"Beginning Programming with Java,Java 8 Pocket Guide,C++ Programming in Easy Steps"
Trans11,"Head First Java 2nd Edition,Java For Dummies,C++ Programming in Easy Steps,A Beginner’s Guide"
Trans12,"Android Programming: The Big Nerd Ranch,Java 8 Pocket Guide,Java For Dummies,Beginning Programming with Java,C++ Programming in Easy Steps"
Trans13,"Java For Dummies,HTML and CSS: Design and Build Websites,Head First Java 2nd Edition,Android Programming: The Big Nerd Ranch,A Beginner’s Guide"
Trans14,"Beginning Programming with Java,Java 8 Pocket Guide,Effective Java (2nd Edition),HTML and CSS: Design and Build Websites,Android Programming: The Big Nerd Ranch,Head First Java 2nd Edition"
Trans15,"Java: The Complete Reference,HTML and CSS: Design and Build Websites,Java 8 Pocket Guide,Android Programming: The Big Nerd Ranch,C++ Programming in Easy Steps"
Trans16,"Java: The Complete Reference,Effective Java (2nd Edition),C++ Programming in Easy Steps,Java For Dummies,Android Programming: The Big Nerd Ranch"
Trans17,"C++ Programming in Easy Steps,Effective Java (2nd Edition),Java For Dummies"
Trans18,"Head First Java 2nd Edition,Java: The Complete Reference,Java 8 Pocket Guide,HTML and CSS: Design and Build Websites,Android Programming: The Big Nerd Ranch,Beginning Programming with Java"
Trans19,"Head First Java 2nd Edition,C++ Programming in Easy Steps,Java: The Complete Reference,A Beginner’s Guide"
Trans20,"Effective Java (2nd Edition),Head First Java 2nd Edition,C++ Programming in Easy Steps,Java For Dummies,Java: The Complete Reference"
