Transaction ID,Transaction
Trans1,"Desk Top,Printer,Flash Drive,Microsoft Office,Speakers,Anti-Virus"
Trans2,"Lab Top,Flash Drive,Microsoft Office,Lab Top Case,Anti-Virus"
Trans3,"Lab Top,Printer,Flash Drive,Microsoft Office,Anti-Virus,Lab Top Case,External Hard-Drive"
Trans4,"Lab Top,Printer,Flash Drive,Anti-Virus,External Hard-Drive,Lab Top Case"
Trans5,"Lab Top,Flash Drive,Lab Top Case,Anti-Virus"
Trans6,"Lab Top,Printer,Flash Drive,Microsoft Office"
Trans7,"Desk Top,Printer,Flash Drive,Microsoft Office"
Trans8,"Lab Top,External Hard-Drive,Anti-Virus"
Trans9,"Desk Top,Printer,Flash Drive,Microsoft Office,Lab Top Case,Anti-Virus,Speakers,External Hard-Drive"
Trans10,"Digital Camera,Lab Top,Desk Top,Printer,Flash Drive,Microsoft Office,Lab Top Case,Anti-Virus,External Hard-Drive,Speakers"
Trans11,"Flash Drive,Lab Top Case,Microsoft Office,Printer"
Trans12,"Speakers,Desk Top,Digital Camera"
Trans13,"Lab Top Case,Microsoft Office,Speakers,Printer"
Trans14,"Anti-Virus,Lab Top Case,Microsoft Office,Flash Drive,Printer"
Trans15,"Flash Drive,Anti-Virus,External Hard-Drive,Printer"
Trans16,"Lab Top,Digital Camera,Anti-Virus,Flash Drive"
Trans17,"Anti-Virus,External Hard-Drive,Digital Camera,Lab Top,Desk Top,Speakers"
Trans18,"Printer,Desk Top,Anti-Virus,Lab Top"
Trans19,"Flash Drive,Desk Top,Printer,Lab Top Case,Lab Top,Microsoft Office"
Trans20,"Printer,Anti-Virus,Lab Top,External Hard-Drive,Flash Drive,Speakers"
