Transaction ID,Transaction
Trans1,"Decorative Pillows,Quilts,Embroidered Bedspread"
Trans2,"Embroidered Bedspread,Shams,Kids Bedding,Bedding Collections,Bed Skirts,Bedspreads,Sheets"
Trans3,"Decorative Pillows,Quilts,Embroidered Bedspread,Shams,Kids Bedding,Bedding Collections"
Trans4,"Kids Bedding,Bedding Collections,Sheets,Bedspreads,Bed Skirts"
Trans5,"Decorative Pillows,Kids Bedding,Bedding Collections,Sheets,Bed Skirts,Bedspreads"
Trans6,"Bedding Collections,Bedspreads,Bed Skirts,Sheets,Shams,Kids Bedding"
Trans7,"Decorative Pillows,Quilts"
Trans8,"Decorative Pillows,Quilts,Embroidered Bedspread"
Trans9,"Bedspreads,Bed Skirts,Shams,Kids Bedding,Sheets"
Trans10,"Quilts,Embroidered Bedspread,Bedding Collections"
Trans11,"Shams,Kids Bedding,Bedspreads,Quilts"
Trans12,"Decorative Pillows,Bed Skirts,Towels"
Trans13,"Quilts,Towels,Decorative Pillows"
Trans14,"Embroidered Bedspread,Bedspreads,Bedding Collections,Decorative Pillows,Kids Bedding,Sheets"
Trans15,"Bedspreads,Kids Bedding,Embroidered Bedspread,Bed Skirts,Bedding Collections,Decorative Pillows"
Trans16,"Shams,Embroidered Bedspread,Towels,Bedding Collections"
Trans17,"Bed Skirts,Shams,Towels,Decorative Pillows,Embroidered Bedspread,Quilts"
Trans18,"Shams,Kids Bedding,Bedding Collections,Decorative Pillows"
Trans19,"Quilts,Kids Bedding,Bed Skirts,Towels,Decorative Pillows"
Trans20,"Embroidered Bedspread,Sheets,Towels"
