Transaction ID,Transaction
Trans1,"Toilet Paper,Shampoo,Toothpaste"
Trans2,"Dish Soap,Shampoo,Cereal,Milk"
Trans3,"Toilet Paper,Laundry Detergent,Dish Soap"
Trans4,"Bread,Eggs,Bottled Water"
Trans5,"Laundry Detergent,Dish Soap,Shampoo"
Trans6,"Shampoo,Toothpaste,Cereal"
Trans7,"Toilet Paper,Laundry Detergent,Dish Soap,Shampoo,Cereal"
Trans8,"Bottled Water,Bread,Eggs"
Trans9,"Toilet Paper,Laundry Detergent,Dish Soap"
Trans10,"Toilet Paper,Laundry Detergent,Dish Soap,Shampoo,Cereal,Bottled Water"
Trans11,"Milk,Toilet Paper,Laundry Detergent"
Trans12,"Eggs,Toilet Paper,Milk,Cereal,Dish Soap"
Trans13,"Milk,Eggs,Shampoo,Dish Soap,Laundry Detergent,Bottled Water"
Trans14,"Eggs,Bottled Water,Bread"
Trans15,"Bottled Water,Milk,Laundry Detergent,Dish Soap"
Trans16,"Laundry Detergent,Bread,Toothpaste"
Trans17,"Cereal,Laundry Detergent,Bottled Water"
Trans18,"Shampoo,Eggs,Bottled Water,Milk,Bread"
Trans19,"Toilet Paper,Cereal,Laundry Detergent"
Trans20,"Eggs,Toilet Paper,Cereal,Toothpaste"
